2
32 26
31 25 5292
21 31 5612
16 26 5854
3 15 5754
6 7 5288
6 12 5918
6 13 5572
14 29 5790
13 28 5974
3 26 5897
3 31 5971
7 27 5927
12 12 5399
11 29 5777
29 3 5300
3 12 5243
21 30 5754
31 15 5778
8 22 5515
5 7 5411
22 6 5911
18 18 5981
0 13 5472
0 0 5578
27 13 5545
25 1 5058
30 25
29 20 5370
5 1 5019
22 21 5650
20 17 5976
17 20 5155
18 13 5533
12 11 5613
12 4 5488
24 25 5174
27 14 5583
18 25 5807
11 12 5711
15 19 5744
16 28 5198
18 7 5138
22 27 5635
10 6 5304
24 9 5205
0 22 5282
27 7 5342
19 19 5444
3 10 5705
11 7 5863
12 27 5638
26 4 5227
